name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors
Moorhill Primary School,Cannock,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Mosley Academy,Anslow,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Needwood CE Primary School,Newborough,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Norton Canes Primary Academy,Norton Canes,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Oakhill Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Oakridge Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Oulton CE First School,Oulton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Our Lady and St Werburghs RC Primary School,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Our Lady of Grace RC Academy,Biddulph,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Outwoods Primary School,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Oxhey First School,Biddulph,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Parkside Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Perton First School,Perton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Perton Primary Academy,Perton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Picknalls First School,Uttoxeter,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Pirehill First School,Walton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Poppyfield Primary Academy,Hednesford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Princefield First School,Penkridge,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Pye Green Academy,Hednesford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Ravensmead Primary School,Bignall End,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Redbrook Hayes Community Primary School,Rugeley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Redhill Primary School,Chadsmoor,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Reginald Mitchell Primary School,Butt Lane,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Richard Clarke First School,Abbots Bromley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Richard Crosse CE Primary School,Kings Bromley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Richard Wakefield CE Primary Academy,Tutbury,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Ridgeway Primary Academy,Burntwood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Riverview Primary School,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Rowley Park Primary Academy,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Rushton CE First School,Rushton Spencer,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Rykneld Primary School,Branston,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Andrew's CE Primary School,Clifton Campville,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Andrew's CE Primary School,Weston,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Anne's CE Primary School,Brown Edge,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Anne's RC Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Augustine's CE Academy,Draycott in the Clay,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Austin's RC Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Bartholomew's CE School,Longnor,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Benedict Biscop CE Primary School,Wombourne,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Bernadette's RC Primary School,Wombourne,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Chad's CE Primary School,Lichfield,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Chad's CE Primary School,Pattingham,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Chad's CE Primary School,Red Street,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Christopher's RC Primary Academy,Codsall,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Dominic's RC Primary School,Stone,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Edward's CE Academy,Cheddleton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Elizabeth's RC Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Filumena's RC Primary School,Blythe Bridge,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Gabriel's RC Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Giles and St George's CE Academy,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Giles' RC Primary School,Cheadle,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St James CE Primary Academy,Longdon,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St John the Evangelist RC Primary,Kidsgrove,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St John's CE First School,Bishops Wood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St John's CE Primary Academy,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St John's CE Primary School,Keele,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St John's CE Primary School,Swindon,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St John's CE Primary School,Wetley Rocks,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St John's Primary Academy,Essington,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St John's RC Primary School,Great Haywood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Joseph and St Theresa RC Primary,Burntwood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Joseph's RC Primary School,Hednesford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Joseph's RC Primary School,Lichfield,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Joseph's RC Primary School,Rugeley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Joseph's RC Primary School,Uttoxeter,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Leonard's CE First School,Dunston,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Leonard's CE First School,Ipstones,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Leonard's CE Primary School,Wigginton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Leonard's Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Luke's CE Academy,Endon,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Luke's CE Primary School,Cannock,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Luke's CE Primary School,Silverdale,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Margaret's CE Junior School,Wolstanton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Mary and St Chad CofE First School,Brewood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Mary's CE First Academy,Wheaton Aston,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Mary's CE First School,Uttoxeter,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The St Mary's CE Primary School,Colton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Mary's CE Primary School,Market Drayton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Mary's RC Academy,Leek,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Mary's RC Primary School,Brewood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Mary's RC Primary School,Cannock,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Mary's RC Primary School,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Michael's CE First School,Penkridge,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Michael's CE First School,Stone,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Michael's CE Primary School,Lichfield,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Modwen's RC Primary School,Horninglow,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Nicholas CE First School,Codsall,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Patrick's RC Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Paul's CE First School,Coven,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Paul's CE Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Peter's CE Academy,Alton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Peter's CE First School,Marchington,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Peter's CE Primary Academy,Hednesford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Peter's CE Primary Academy,Stonnall,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Peter's CE Primary School,Caverswall,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Peter's CE Primary School,Hixon,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Saviour's CE Academy,Talke,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Stephen's Primary School,Fradley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Thomas' CE Primary Academy,Kidsgrove,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Thomas' RC Primary School,Tean,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Thomas More RC Primary School,Great Wyrley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Werburgh's CE Primary School,Kingsley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
St Wulstan's RC Primary School,Wolstanton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Ss Peter and Paul RC Primary School,Lichfield,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Scientia Academy,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Scotch Orchard Primary School,Lichfield,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Seabridge Primary School,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Shobnall Primary School,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Silkmore Primary Academy,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Silverdale Primary Academy,Silverdale,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Sir John Offley CE Primary School,Madeley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Springcroft Primary School,Blythe Bridge,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Springfields First School,Yarnfield,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Springhead Primary School,Talke Pits,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Springhill Primary Academy,Burntwood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Squirrel Hayes First School,Biddulph,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Stoneydelph Primary School,Wilnecote,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Streethay Primary School,Lichfield,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Sun Academy Bradwell,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Talbot First School,Kingstone,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Thomas Barnes Primary School,Hopwas,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Thomas Russell Infants School,Barton-under-Needwood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Thomas Russell Junior School,Barton-under-Needwood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Three Peaks Primary Academy,Wilnecote,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Thursfield Primary School,Harriseahead,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Tillington Manor Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Tittensor CE First School,Tittensor,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Tower View Primary School,Winshill,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Two Gates Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Tynsel Parkes Primary Academy,Uttoxeter,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Valley Primary School,Oakamoor,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Veritas Primary Academy,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Victoria Community School,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Violet Way Academy,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Waterhouses CE Primary Academy,Waterhouses,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Werrington Primary School,Werrington,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
West Hill Primary School,Hednesford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Westfield Primary School,Wombourne,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Westlands Primary School,Newcastle-under-Lyme,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Westwood First School,Leek,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Whittington Primary School,Whittington,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The William Amory Primary School,Blythe Bridge,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
William MacGregor Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
William Shrewsbury Primary School,Stretton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Willows Primary School,Lichfield,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Wilnecote Junior Academy,Wilnecote,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Winshill Village Primary School,Winshill,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Wood Lane Primary School,Bignall End,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Woodcroft Academy,Leek,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
The Woodlands Community Primary School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Woodseaves CE Primary Academy,Woodseaves,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Yoxall St Peter's CE Primary School,Yoxall,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
